основа	прил.	он	она	они	прим.
брази́л	-ьский	-ец	-ька	-ьцы	
брази́льан	-ский	-ец	-ка	-цы	
бра́нденбу́рж	-ский	-ец	-ка	-цы	
бра́унист	-ский	-	-ка	-ы	
бре́мен	-ский	-ец	-ка	-цы	
брето́н	-ский	-ец	-ка	-цы	
бри́сбен	-ский	-ец	-ка	-цы	
брита́н	-ский	-ец	-ка	-цы	
брне́н	-ский	-ец	-ка	-цы	
бру́клин	-ский	-ец	-ка	-цы	
бруне́	-йский	-ец	-йка	-йцы	
бря́н	-ский	-ец	-ка	-цы	
бря́нщин	-ский	-ец	-ка	-цы	
бугульми́н	-ский	-ец	-ка	-цы	
бугурусла́н	-ский	-ец	-ка	-цы	
букови́н	-ский	-ец	-ка	-цы	
буркини́	-йский	-ец	-йка	-йцы	
бурунди́	-йский	-ец	-йка	-йцы	
буря́т	-ский	-	-ка	-ы	
бута́н	-ский	-ец	-ка	-цы	
вайо́минг	-ский	-ец	-ка	-цы	
валенсиа́н	-ский	-ец	-ка	-цы	
вануа́т	-ский	-ец	-ка	-цы	
ватика́н	-ский	-ец	-ка	-цы	
вашингто́н	-ский	-ец	-ка	-цы	
великобрита́н	-ский	-ец	-ка	-цы	
веллингто́н	-ский	-ец	-ка	-цы	
ве́н	-ский	-ец	-ка	-цы	
венесуэ́л	-ьский	-ец	-ка	-ьцы	
венециа́н	-ский	-ец	-ка	-цы	
вермо́нт	-ский	-ец	-ка	-цы	
веро́н	-ский	-ец	-ка	-цы	
верхоя́н	-ский	-ец	-ка	-цы	
вестфа́л	-ьский	-ец	-ка	-ьцы	
викториа́н	-ский	-ец	-ка	-цы	
вирги́н	-ский	-ец	-ка	-цы	
виско́нсин	-ский	-ец	-ка	-цы	
владивосто́к	-ский	-ец	-ка	-цы	
влади́мир	-ский	-ец	-ка	-цы	
волгогра́д	-ский	-ец	-ка	-цы	
волгодо́н	-ский	-ец	-ка	-цы	
волого́д	-ский	-ец	-ка	-цы	
волого́дщин	-ский	-ец	-ка	-цы	
воркути́н	-ский	-ец	-ка	-цы	
воро́неж	-ский	-ец	-ка	-цы	
воскресе́н	-ский	-ец	-ка	-цы	
восто́чноевропе́	-йский	-ец	-йка	-йцы	
восточноказахста́н	-ский	-ец	-ка	-цы	
во́ткин	-ский	-ец	-ка	-цы	
вы́ксун	-ский	-ец	-ка	-цы	
вьентья́н	-ский	-ец	-ка	-цы	
вьетна́м	-ский	-ец	-ка	-цы	
габо́н	-ский	-ец	-ка	-цы	
гава́й	-ский	-ец	-ка	-цы	
гайа́н	-ский	-ец	-ка	-цы	
гамби́	-йский	-ец	-йка	-йцы	
га́мбург	-ский	-ец	-ка	-цы	
га́н	-ский	-ец	-ка	-цы	
гватема́л	-ьский	-ец	-ка	-ьцы	
гвиа́н	-ский	-ец	-ка	-цы	
гвине́	-йский	-ец	-йка	-йцы	
ГДРов	-ский	-ец	-ка	-цы	
герма́н	-ский	-ец	-ка	-цы	
ге́рнси	-йский	-ец	-йка	-йцы	
ге́ссен	-ский	-ец	-ка	-цы	
гондва́н	-ский	-ец	-ка	-цы	
гондура́с	-ский	-ец	-ка	-цы	
гонко́нг	-ский	-ец	-ка	-цы	
го́р	-ский	-ец	-ка	-цы	
грена́д	-ский	-ец	-ка	-цы	
груди́нин	-ский	-ец	-ка	-цы	
гэдээ́ров	-ский	-ец	-ка	-цы	
дагеста́н	-ский	-ец	-ка	-цы	
дальневосто́ч	-ный	-енец	-енка	-енцы	
дальнере́чен	-ский	-ец	-ка	-цы	
дарги́н	-ский	-ец	-ка	-цы	
делавэ́р	-ский	-ец	-ка	-цы	
джерси́	-йский	-ец	-йка	-йцы	
джибути́	-йский	-ец	-йка	-йцы	
джо́рджи	-йский	-ец	-йка	-йцы	
дзержи́н	-ский	-ец	-ка	-цы	
ди́ксон	-ский	-ец	-ка	-цы	
днепродзержи́н	-ский	-ец	-ка	-цы	
долгопру́днен	-ский	-ец	-ка	-цы	
доминика́н	-ский	-ец	-ка	-цы	
дон	-ский	-е́ц		-цы	*
донча́н	-ский	-ец	-ка	-цы	
донча́н	-ский	-ин	-ка	-е	
древля́н	-ский	-ец	-ка	-цы	
древля́н	-ский	-ин	-ка	-е	
дре́зден	-ский	-ец	-ка	-цы	
ду́блин	-ский	-ец	-ка	-цы	
ду́бнин	-ский	-ец	-ка	-цы	
дудин	-ский	-е́ц		-цы́	
душанби́н	-ский	-ец	-ка	-цы	
дяди́н	-ский	-ец	-ка	-цы	
еврази́	-йский	-ец	-йка	-йцы	
европе́	-йский	-ец	-йка	-йцы	
един	-ский	-е́ц		-цы́	
екатеринбу́р	-гский	-жец	-женка	-гцы	
екатери́нин	-ский	-ец	-ка	-цы	
елен	-ский	-е́ц	-цка	-цы́	*
е́лен	-ский	-ец	-ка	-цы	
елизаве́тин	-ский	-ец	-ка	-цы	
е́льнин	-ский	-ец	-ка	-цы	
епифа́н	-ский	-ец	-ка	-цы	
ерева́н	-ский	-ец	-ка	-цы	
е́ржен	-ский	-ец	-ка	-цы	
жи́здрин	-ский	-ец	-ка	-цы	
жн	-е́цский	-е́ц		-ецы́	
забайка́л	-ьский	-ец	-ка	-ьцы	
задо́н	-ский	-ец	-ка	-цы	
задо́нов	-ский	-ец	-ка	-цы	
задо́рнов	-ский	-ец	-ка	-цы	
заи́р	-ский	-ец	-ка	-цы	
замби́	-йский	-ец	-йка	-йцы	
западновирги́н	-ский	-ец	-ка	-цы	
за́падноевропе́	-йский	-ец	-йка	-йцы	
заселе́н	-ский	-ец	-ка	-цы	
за́сла́н	-ский	-ец	-ка	-цы	
засра́н	-ский	-ец	-ка	-цы	
засса́н	-ский	-ец	-ка	-цы	
зелен	-ский	-е́ц		-цы́	
зеле́н	-ский	-ец	-ка	-цы	
зеленогра́д	-ский	-ец	-ка	-цы	
зимбабви́	-йский	-ец	-йка	-йцы	
золотоорды́н	-ский	-ец	-ка	-цы	
зюга́нов	-ский	-ец	-ка	-цы	
ива́нов	-ский	-ец	-ка	-цы	
ивуари́	-йский	-ец	-йка	-йцы	
иждиве́н	-ский	-ец	-ка	-цы	
изве́стин	-ский	-ец	-ка	-цы	
извраще́н	-ский	-ец	-ка	-цы	
изоби́льнен	-ский	-ец	-ка	-цы	
иллино́йс	-ский	-ец	-ка	-цы	
ильи́н	-ский	-ец	-ка	-цы	
имерети́н	-ский	-ец	-ка	-цы	
инде́	-йский	-ец	-а́нка	-йцы	
инди́	-йский	-ец	-йка	-йцы	
индиа́н	-ский	-ец	-ка	-цы	
индонези́	-йский	-ец	-йка	-йцы	
индопакиста́н	-ский	-ец	-ка	-цы	
инозе́м	-ский	-ец	-ка	-цы	
иностра́н	-ский	-ец	-ка	-цы	
инти́н	-ский	-ец	-ка	-цы	
иорда́н	-ский	-ец	-ка	-цы	
ира́к	-ский	-ец	-ка	-цы	
ира́н	-ский	-ец	-ка	-цы	
ирла́нд	-ский	-ец	-ка	-цы	
исла́нд	-ский	-ец	-ка	-цы	
испа́н	-ский	-ец	-ка	-цы	
и́стрин	-ский	-ец	-ка	-цы	
италья́н	-ский	-ец	-ка	-цы	
ительме́н	-ский	-ец	-ка	-цы	
ишу́тин	-ский	-ец	-ка	-цы	
йе́мен	-ский	-ец	-ка	-цы	
йе́н	-ский	-ец	-ка	-цы	
йошкароли́н	-ский	-ец	-ка	-цы	
кабарди́н	-ский	-ец	-ка	-цы	
кабардинобалка́р	-ский	-ец	-ка	-цы	
кабовердиа́н	-ский	-ец	-ка	-цы	
кавка́з	-ский	-ец	-ка	-цы	
кага́н	-ский	-ец	-ка	-цы	
каза́н	-ский	-ец	-ка	-цы	
казахста́н	-ский	-ец	-ка	-цы	
кали́нин	-ский	-ец	-ка	-цы	
калинингра́д	-ский	-ец	-ка	-цы	
калифорни́	-йский	-ец	-йка	-йцы	
калу́ж	-ский	-ец	-ка	-цы	
камбоджи́	-йский	-ец	-йка	-йцы	
ка́мен	-ский	-ец	-ка	-цы	
камеру́н	-ский	-ец	-ка	-цы	
кампа́н	-ский	-ец	-ка	-цы	
камчада́л	-ьский	-ец	-ка	-ьцы	
камча́т	-ский	-ец	-ка	-цы	
камча́тов	-ский	-ец	-ка	-цы	
кана́д	-ский	-ец	-ка	-цы	
канза́с	-ский	-ец	-ка	-цы	
ка́нн	-ский	-ец	-ка	-цы	
кантиа́н	-ский	-ец	-ка	-цы	
кап	-е́цский	-е́ц			
караба́хов	-ский	-ец	-ка	-цы	
караганди́н	-ский	-ец	-ка	-цы	
карача́ев	-ский	-ец	-ка	-цы	
карачаевочерке́сс	-ский	-ец	-ка	-цы	
каркарали́н	-ский	-ец	-ка	-цы	
картезиа́н	-ский	-ец	-ка	-цы	
катало́н	-ский	-ец	-ка	-цы	
ка́тар	-ский	-ец	-ка	-цы	
каутскиа́н	-ский	-ец	-ка	-цы	
кахети́н	-ский	-ец	-ка	-цы	
кашми́р	-ский	-ец	-ка	-цы	
кви́нсов	-ский	-ец	-ка	-цы	
кейнсиа́н	-ский	-ец	-ка	-цы	
ке́ллеров	-ский	-ец	-ка	-цы	
ке́меров	-ский	-ец	-ка	-цы	
кени́	-йский	-ец	-йка	-йцы	
кёнигсбе́рж	-ский	-ец	-ка	-цы	
кенту́кков	-ский	-ец	-ка	-цы	
киприо́т	-ский	-ец	-ка	-цы	
киргизста́н	-ский	-ец	-ка	-цы	
кириба́т	-ский	-ец	-ка	-цы	
ки́ров	-ский	-ец	-ка	-цы	
кита́	-йский	-ец	-янка	-йцы	
кита́	-йский	-ец	-йка	-йцы	
кокчета́в	-ский	-ец	-ка	-цы	
колора́дов	-ский	-ец	-ка	-цы	
колумби́	-йский	-ец	-йка	-йцы	
комбоджи́	-йский	-ец	-йка	-йцы	
комо́р	-ский	-ец	-ка	-цы	
компучи́	-йский	-ец	-йка	-йцы	
конголе́з	-ский	-ец	-ка	-цы	
конне́ктикутов	-ский	-ец	-ка	-цы	
конфуциа́н	-ский	-ец	-ка	-цы	
кордилье́р	-ский	-ец	-ка	-цы	
коре́	-йский		-йка	-йки	пи́ща
коре́	-йский	-ец	-янка	-йцы	
корин	-ский	-е́ц		-цы́	
ко́рин	-ский	-ец	-ка	-цы	
костарика́н	-ский	-ец	-ка	-цы	
котдивуа́р	-ский	-ец	-ка	-цы	
краса́в	-ский	-ец	-а	-цы	
краса́в	-ский	-ец	-ка	-цы	
краснода́р	-ский	-ец	-ка	-цы	
красноя́р	-ский	-ец	-ка	-цы	
кре́мен	-ский	-ец	-ка	-цы	
кри́стмаса́йленд	-ский	-ец	-ка	-цы	
кроманьо́н	-ский	-ец	-ка	-цы	
крымча́нин	-ский	-ец	-ка	-цы	
куба́н	-ский	-ец	-ка	-цы	
куби́н	-ский	-ец	-ка	-цы	
куве́йт	-ский	-ец	-ка	-цы	
кузба́сс	-ский	-ец	-ка	-цы	
куп	-е́цский	-е́ц	-чиха	-цы	
курга́н	-ский	-ец	-ка	-цы	
курен	-ский	-е́ц		-цы́	
лавренти́	-йский	-ец	-йка	-йцы	
лао́с	-ский	-ец	-ка	-цы	
лаотя́н	-ский	-ец	-ка	-цы	
лассалья́н	-ский	-ец	-ка	-цы	
латви́	-йский	-ец	-йка	-йцы	
лати́н	-ский	-ец	-ка	-цы	
лати́ноамерика́н	-ский	-ец	-ка	-цы	
латиня́н	-ский	-ин	-ка	-е	
лебедя́н	-ский	-ец	-ка	-цы	
леванти́н	-ский	-ец	-ка	-цы	
лезги́н	-ский	-ец	-ка	-цы	
лейбнициа́н	-ский	-ец	-ка	-цы	
лени́н	-ский	-ец	-ка	-цы	
ленингра́д	-ский	-ец	-ка	-цы	
лесоснабже́н	-ский	-ец	-ка	-цы	
лесо́т	-ский	-ец	-ка	-цы	
либери́	-йский	-ец	-йка	-йцы	
лива́н	-ский	-ец	-ка	-цы	
ли́вен	-ский	-ец	-ка	-цы	
ливи́	-йский	-ец	-йка	-йцы	
ливо́н	-ский	-ец	-ка	-цы	
лио́н	-ский	-ец	-ка	-цы	
липчан́	-ский	-ец	-ка	-цы	
лисабо́н	-ский	-ец	-ка	-цы	
лито́в	-ский	-ец	-ка	-цы	
лихтенште́йн	-ский	-ец	-ка	-цы	
ло́дзин	-ский	-ец	-ка	-цы	
лоза́нн	-ский	-ец	-ка	-цы	
ло́ндон	-ский	-ец	-ка	-цы	
луга́н	-ский	-ец	-ка	-цы	
луганча́нин	-ский	-ец	-ка	-цы	
луизиа́н	-ский	-ец	-ка	-цы	
лу́нин	-ский	-ец	-ка	-цы	
лю́блин	-ский	-ец	-ка	-цы	
любля́н	-ский	-ец	-ка	-цы	
люксембу́рж	-ский	-ец	-ка	-цы	
маврики́	-йский	-ец	-йка	-йцы	
маврита́н	-ский	-ец	-ка	-цы	
магада́н	-ский	-ец	-ка	-цы	
магада́нов	-ский	-ец	-ка	-цы	
магомета́н	-ский	-ец	-ка	-цы	
мадагаска́р	-ский	-ец	-ка	-цы	
мазендера́н	-ский	-ец	-ка	-цы	
мака́он	-ский	-ец	-ка	-цы	
македо́н	-ский	-ец	-ка	-цы	
мала́	-йский	-ец	-йка	-йцы	
малави́	-йский	-ец	-йка	-йцы	
малагаси́	-йский	-ец	-йка	-йцы	
малайзи́	-йский	-ец	-йка	-йцы	
малева́н	-ский	-ец	-ка	-цы	
малёван	-ский	-ец	-ка	-цы	
мали́	-йский	-ец	-йка	-йцы	
мальди́в	-ский	-ец	-ка	-цы	
мальдивиа́н	-ский	-ец	-ка	-цы	
мальти́	-йский	-ец	-йка	-йцы	
мальтузиа́н	-ский	-ец	-ка	-цы	
манси́	-йский	-ец	-йка	-йцы	
мантуа́н	-ский	-ец	-ка	-цы	
манхэ́ттен	-ский	-ец	-ка	-цы	
марафо́н	-ский	-ец	-ка	-цы	
мари́	-йский	-ец	-йка	-йцы	
марокка́н	-ский	-ец	-ка	-цы	
марша́ллов	-ский	-ец	-ка	-цы	
массачу́с	-ский	-ец	-ка	-цы	
махачкали́н	-ский	-ец	-ка	-цы	
медельи́н	-ский	-ец	-ка	-цы	
междуре́чен	-ский	-ец	-ка	-цы	
межрайо́н	-ский	-ец	-ка	-цы	
ме́зен	-ский	-ец	-ка	-цы	
мезозо́	-йский	-ец	-йка	-йцы	
ме́кленбурж	-ский	-ец	-ка	-цы	
мексика́н	-ский	-ец	-ка	-цы	
месхети́н	-ский	-ец	-ка	-цы	
мехика́н	-ский	-ец	-ка	-цы	
микронези́	-йский	-ец	-йка	-йцы	
мила́н	-ский	-ец	-ка	-цы	
миннисо́т	-ский	-ец	-ка	-цы	
минуси́н	-ский	-ец	-ка	-цы	
