наименование (город / страна)	житель (он, м.р.)	жительница (она, ж.р.)	жители (они, мн.ч.)
Монтго́мери 	монтго́мерец	монтго́мерша	монтго́мерцы
Монтевиде́о	монтевиде́овец	монтевиде́овка	монтевиде́овцы
Монтпи́лиер 	монтпилие́рец	монтпилие́рка	монтпилие́рцы
Мордо́вия	мордо́вец	мордо́вка	мордо́вцы / мордва́
Моро́ни	маро́ниец	маро́нийка	маро́нцы
Москва́	москви́ч	москви́чка	москвичи́
Моско́вия	моско́вец	моско́вка	моско́вцы
Музаффараба́д	музаффараба́дец	музаффараба́дка	музаффараба́дцы
Му́рманск	му́рманец	му́рманка	му́рманцы
Му́рманск	мурманча́нец	мурманча́нка	мурманча́нцы
Мья́нма	мья́нмец	мья́нмка	мья́нмцы
Мэн	мэ́нец	мэ́нка	мэ́нцы
Мэ́риленд	мэрилэ́ндец	мэрилэ́ндка	мэрилэ́ндцы
Мю́нхен	мю́нхенец	мю́нхенка	мю́нхенцы
Наго́рно-Караба́хская Респу́блика	нагоргокараба́ховец	нагоргокараба́ховка	нагоргокараба́ховцы
Найро́би	найро́биец	найро́бийка	найро́бцы
На́льчик	на́льчинец	на́льчинка	на́льчинцы
Нами́бия	намиби́ец	намиби́йка	намиби́йцы
Наньян-Ма́р	наньянма́рец	наньянма́рка	наньянма́рцы
Насса́у	насса́увец	насса́увка	насса́увцы
Науру́	науруа́нец	науруа́нка	науруа́нцы
На́швилл 	на́швиллец	на́швиллка	на́швилльцы
Нге́рулмуд	нгерулму́дец	нгерулму́дка	нгерулму́дцы
Нджаме́на	нджаме́нец	нджаме́нка	нджаме́нцы
Небра́ска	небра́скавец	небра́скавка	небра́скавцы
Нева́да	нева́давец	нева́давка	нева́давцы
Нейпьидо́	нейпьидо́ец	нейпьидо́йка	нейпьидо́йцы
Не́нецкий о́круг	не́нец	не́нка	не́нцы
Непа́л	непа́лец	непа́лка	непа́льцы
Ниаме́й	ниаме́йец	ниаме́йка	ниаме́йцы
Ниге́р	ниге́рец	ниге́рка	ниге́рцы
Ниге́рия	нигери́ец	нигери́йка	нигери́йцы
Нидерла́нды	нидерла́ндец	нидерла́ндка	нидерла́ндцы
Нижегоро́дщина	нижегоро́дщинец	нижегоро́дщинка	нижегоро́дщинцы
Ни́жний Но́вгород	нижегоро́дец	нижегоро́дка	нижегоро́дцы
Ни́жняя Саксо́ния	нижнесаксо́нец	нижнесаксо́нка	нижнесаксо́нцы
Никара́гуа	никарагуа́нец	никарагуа́нка	никарагуа́нцы
Никоси́я	никоси́ец	никоси́йка	никоси́йцы
Но́вая Зела́ндия	новозела́ндец	новозела́ндка	новозела́ндцы
Но́вгород	но́вгоро́дец	но́вгоро́дка	но́вгоро́дцы
Новгоро́дщина	новгоро́дщинец	новгоро́дщинка	новгоро́дщинцы
Новосиби́рск	новосиби́рец	новосиби́рка	новосиби́рцы
Норве́гия	норве́жец	норве́жка	норве́жцы
Но́рфолк	но́рфолковец	но́рфолковка	но́рфолковцы
Нуакшо́т	нуакшо́тец	нуакшо́тка	нуакшо́тцы
Нукуало́фа	нукуало́фец	нукуало́фка	нукуало́фцы
Нур-Султа́н	нурсулта́новец	нурсулта́новка	нурсулта́новцы
Нью-Гэ́мпшир	ньюгэ́мширец	ньюгэ́мширка	ньюгэ́мширцы
Нью-Де́ли	ньюдели́ец	ньюдели́цка	ньюдели́йцы
Нью-Дже́рси	ньюджерси́ец	ньюджерси́йка	ньюджерси́йцы
Нью-Йорк	ньюйо́ркер	ньюйо́керша	ньюйо́ркцы
Нью-Йо́рк 	ньюйо́ркер	ньюйо́ркша	ньюйо́ркцы
Нью-Ме́ксико	ньюмексика́нец	ньюмексика́нка	ньюмексика́нцы
Ога́йо	ога́йец	ога́йка	ога́йцы
Ога́ста 	ога́стец	ога́стка	ога́стцы
Оклахо́ма	оклахо́мец	оклахо́мка	оклахо́мцы
Оклахо́ма-Си́ти 	оклахо́мец	оклахо́мка	оклахо́мцы
Оли́мпия 	оли́мпиец	оли́мпийка	оли́мпийцы
Ома́н	ома́нец	ома́нка	ома́нцы
Омск	оми́ч	оми́чка	омичи́
Омск	омча́нец	омча́нка	омча́не
О́мщина	о́мщинец	о́мщинка	о́мщинцы
Орего́н	ориго́нец	ориго́нка	ориго́нцы
Орёл	орло́вец	орло́вка	орло́вцы
Оренбу́рг	оренбу́ржец	оренбу́рженка	оренбу́ргцы
Оренбу́ржщина	оренбу́ржщинец	оренбу́ржщинка	оренбу́ржщинцы
Оренбу́ржье	оренбу́ржец	оренбу́рженка	оренбу́ржцы
Орло́вщина	орло́вщинец	орло́вщинка	орло́вщинцы
О́сло	о́словец	о́словка	о́словцы
О́стин 	о́стинец	о́стинка	о́стинцы
О́стров Мэн	мэна́йлендец	мэна́йлендка	мэна́йлендцы
О́стров Но́рфолк / Норфолк-Айленд	но́рфолка́йлендец	но́рфолка́йлендка	но́рфолка́йлендцы
О́стров Рождества́ / Кри́стмас-А́йленд	кри́стмаса́йлендец	кри́стмаса́йлендка	кри́стмаса́йлендцы
островно́е госуда́рство	островитя́нин	островитя́нка	островитя́не
Отта́ва	отта́вец	отта́вка	отта́вцы
Пакиста́н	пакиста́нец	пакиста́нка	пакиста́нцы
Пала́у	палауа́нец	палауа́нка	палауа́нцы
Палести́на	палести́нец	палести́нка	палести́нцы
Палики́р	палики́рец	палики́рка	палики́рцы
Пана́ма	пана́мец	пана́мка	пана́мцы
Пана́ма	пана́мка	пана́мцы	пана́мцы
Пангея	пангеец	пангейка	пангейцы
Па́пуа — Но́вая Гвине́я	гвине́ец	гвине́йка	гвине́йцы
Па́пуа — Но́вая Гвине́я	папуа́с	папуа́ска	папуа́сы
Парагва́й	парагва́ец	парагва́йка	парагва́йцы
Парамари́бо	парамари́бец	парамари́бка	парамари́бцы
Пари́ж	парижа́нец	парижа́нка	парижа́не
Пеки́н	пеки́нец	пеки́нка	пеки́нцы
Пе́нза	пе́рзенец / пензя́к	пе́нзенка / пензя́чка	пе́нзенцы / пензяки́
Пе́нзенщина	пе́нзенщинец	пе́нзенщинка	пе́нзенщинцы
Пенсильва́ния	пенсильва́нец	пенсильва́нка	пенсильва́нцы
Пере́дняя Помера́ния	перѐднепомера́нец	перѐднепомера́нка	перѐднепомера́нцы
Пе́рмщина	пе́рмщинец	пе́рмщинка	пе́рмщинцы
Пермь	пермя́к	пермя́чка	пермяки́
Перу́	перуа́нец	перуа́нка	перуа́нцы
Петрозаво́дск	петрозаво́дец	петрозаво́дка	петразаво́дцы
Петропа́вловск-Камча́тский	петропа́вловсккамча́тец	петропа́вловсккамча́тка	петропа́вловсккамча́тцы
Пирр 	пи́ррец	пи́ррка	пи́ррцы
Пномпе́нь	пномпе́нец	пномпе́нька	пномпе́ньцы
Подго́рица	подго́рец	подго́рица	подго́рцы
По́льша	поля́к	по́лька / поля́чка	поля́ки
Помера́ния	помера́нец	помера́нка	помера́нцы
Помо́рье	помо́рец	помо́рица	помо́рцы
Помо́рье	помо́р	помо́рка	помо́ры
Порт-Ви́ла	портви́лец	портви́лка	портви́льцы
Порт-Луи́	портлу́ец	портлу́йка	портлу́йцы
Порт-Мо́рсби	портмо́рсбиец	портмо́рсбийка	портмо́рсбцы
Порт-о-Пренс	портопре́нсец	портопре́нска	портопре́нсцы
Порт-оф-Спейн	портофсте́йнец	портофсте́йнка	портофсте́йнцы
По́рто-Но́во	портоно́вец	портоно́вка	портоно́вцы
Португа́лия	португа́лец	португа́лка	португа́льцы
Потсда́м	потсда́мец	потсда́мка	потсда́мцы
Пра́га	пра́жец	пра́жка	пра́жцы
Пра́я	пра́йец	пра́йка	пра́йцы
Прето́рия	прето́рец	прето́рка	прето́рцы
Приво́лжье	приво́лжец	приво́лженка	приво́лжцы
Приднестро́вье	преднистро́вец	преднистро́вка	преднистро́вцы
Примо́рский край	приморча́нец	приморча́нка	приморча́не
Примо́рье	примо́рец	примо́рка	примо́рцы
При́штина	при́штинец	при́штинка	при́штинцы
Про́виденс 	про́виденсец	про́виденска	про́виденсцы
Псков	пско́вец	пско́вка	пско́вцы
Пско́вщина	пско́вщинец	пско́вщинка	пско́вщинцы
Пуэ́рто-Ри́ко 	пуэрторика́нец	пуэрторика́нка	пуэрторика́нцы
Пхенья́н	пхенья́нец	пхенья́нка	пхенья́нцы
Пятиго́рск	пятиго́рец	пятиго́рка	пятиго́рцы
Раба́т	раба́тец	раба́тка	раба́тцы
Ра́малла	рама́лец	рама́лка	рама́льцы
Рейкья́вик	рейкья́вец	рейкья́вка	рейкья́вцы
Ре́йнланд-Пфальц	пфа́лец	пфа́льцка	пфа́льцы
Ри́га	рижа́нец	рижа́нка	рижа́не
Рим	ри́млянин	ри́млянка	ри́мляне
Ри́чмонд 	ри́чмондец	ри́чмондка	ри́чмондцы
Род-А́йленд	рода́лендец	рода́лендка	рода́лендцы
Розо́	розо́вец	розо́вка	розо́вцы
Ро́ли 	ро́лиец	ро́лийка	ро́лийцы
Росси́я	россия́нин	россия́нка	россия́не
Росто́в-на-Дону́	ростовча́нин	ростовча́нка	ростовча́не
Росто́вщина	росто́вщинец	росто́вщинка	росто́вщинцы
Руа́нда	руанди́ец	руанди́йка	руанди́йцы
Румы́ния	румы́н	румы́нка	румы́ны
Ряза́нщина	ряза́нщинец	ряза́нщинка	ряза́нщинцы
Ряза́нь	ряза́нец	ряза́нка	ряза́нцы
Саа́р	саа́рец	саа́рка	саа́рцы
Саарбрю́ккен	саарбрю́ккенец	саарбрю́ккенка	саарбрю́ккенцы
Саксо́ния	саксо́нец	саксо́нка	сакс́онцы
Саксо́ния-А́нхальт	саксо́на́нхалец	саксо́на́нхалька	саксо́на́нхальцы
Салеха́рд	салеха́рдец	салеха́рдка	салеха́рдцы
Сальвадо́р	сальвадо́рец	сальвадо́рка	сальвадо́рцы
Сама́ра	сама́рец	сама́рка	сама́рцы
Сама́рщина	сама́рщинец	сама́рщинка	сама́рщинцы
Само́а	самоа́нец	самоа́нка	самоа́нцы
Сан-Мари́но	санмари́нец	санмари́нка	санмари́нцы
Сан-Сальвадо́р	сансальвадо́рец	сансальвадо́рка	сансальвадо́рцы
Сан-Томе́	сантоме́ец	сантоме́йка	сантоме́йцы
Сан-Томе́ и При́нсипи	сантоми́ец	сантоми́йка	сантоми́йцы
Сан-Хосе́	санхосе́нец	санхосе́нка	санхосе́нцы
Сан-Хуа́н	санхуа́нцы	санхуа́нец	санхуа́нка
Са́на́	са́на́ец	са́на́йка	са́на́йцы
Санкт-Петербу́рг	санктпетербу́ржец	санктпетербу́рженка	санктпетербу́ржцы
Са́нта-Фе 	са́нтафе́ец	са́нтафе́йка	са́нтафе́йцы
Са́нто-Доми́нго	сантадоми́нговец	сантадоми́нговка	сантадоми́нговцы
Сантья́го	сантья́говец	сантья́говка	сантья́говцы
Сара́ево	сара́евец	сара́евка	сара́евцы
Сара́нск	сара́нец	сара́нка	сара́нцы
Сара́тов	сара́товец	сара́товка	сара́товцы
Сара́товщина	сара́товщинец	сара́товщинка	сара́товщинцы
Сау́довская Ара́вия	сауди́т	сауди́тка	сауди́ты
Саха́	саха́ей	саха́йка	саха́йцы
Сахали́нская о́бласть	сахали́нец	сахали́нка	сахали́нцы
Саха́ра САДР	саха́рец	саха́рка	саха́рцы
Сва́зиле́нд	сва́зиле́ндец	сва́зиле́ндка	сва́зиле́ндцы
Свердло́вская о́бласть	свердловча́нин	свердловча́нка	свердловча́не
Свердло́вщина	свердло́вщинец	свердло́вщинка	свердло́вщинцы
Се́верная Аме́рика	сѐвероамерика́нец	сѐвероамерика́нка	сѐвероамерика́нцы
Се́верная Дако́та	северодако́тинец	северодако́тинка	северодако́тинцы
Се́верная Евро́па	сѐвероевропе́ец	сѐвероевропе́йка	сѐвероевропе́йцы
Се́верная Кароли́на	северокароли́нец	северокароли́нка	северокароли́нцы
Се́верная Македо́ния	северомакедо́нец	северомакедо́нка	северомакедо́нцы
Се́верная Осе́тия — Ала́ния	североосетинец / североосетин	североосети́нка	североосети́нцы / североосети́ны
Се́верный Ки́пр	северокиприо́т / киприо́т	северокиприо́тка / киприо́тка	северокиприо́ты / киприо́ты
Се́верный Рейн — Вестфа́лия	ре́йнец / вестфа́лец	ре́йнка / вестфа́лька	ре́йнцы / вестфа́льцы
Се́веро-Кавка́зский о́круг	северокавка́зец	северокавка́зка	северокавка́зцы
Се́вероза́падная часть контине́нта	севреноза́падный европе́ец	северноза́падная европе́йка	североза́падные европе́йцы
Се́йлем 	се́йлемец	се́йлемка	се́йлемцы
Сейше́льские Острова́ Сейше́лы	сейше́лец	сейше́лка	сейше́льцы
Сенега́л	сенега́лец	сенега́лка	сенега́льцы
Сент-Ви́нсент и Гренади́ны	сентвинсе́нтец	сентвинсе́нтка	сентвинсе́нтцы
Сент-Джонс	сентджо́нсец	сентджо́нсенка	сентджо́нсцы
Сент-Джо́рджес	сентджо́рджесец	сентджо́рджеска	сентджо́рджесцы
Сент-Ки́тс и Не́вис	сентки́тсец	сентки́тска	сентки́тсцы
Сент-Люси́я	сентлюси́ец	сентлюси́йка	сентлюси́йцы
Сент-Пи́тер-Порт	сентпитерпо́ртец	сентпитерпо́ртка	сентпитерпо́ртцы
Сент-Пол 	сентпо́лец	сентпо́лька	сентпо́льцы
Сент-Хе́лиер	сентхелье́рец	сентхелье́рка	сентхелье́рцы
Се́рбия	серб	се́рбка	се́рбы
Се́ттлмент	се́ттлментец	се́ттлментка	се́ттлментцы
Сеу́л	сеу́лец	сеу́лка	сеу́льцы
Сиби́рский о́круг	сибиря́к	сибиря́чка	сибиряки́
Симферо́поль	симферо́полец	симферо́полька	симферо́польцы
Сингапу́р	сингапу́рец	сингапу́рка	сингапу́рцы
Си́рия	сири́ец	сири́йка	сири́йцы
Ско́пье	ско́пьец	ско́пьецка	ско́пьецы
Слова́кия	слова́к	слова́чка	слова́ки
Слове́ния	слове́нец	слове́нка	слове́нцы
Смоле́нск	смоля́нец	смоля́нка	смоля́не
Смоле́нщина	смоле́нщинец	смоле́нщинка	смоле́нщинцы
Соломо́новы Острова́	соломо́новец	соломо́новка	соломо́новцы
Солт-Лейк-Си́ти 	солтле́йкер	солте́йкерша	солтле́йкерцы
Сомали́	сомали́ец	сомали́йка	сомали́йцы
Сомалиле́нд	сомалиле́ндец	сомалиле́ндка	сомалиле́ндцы
Софи́я	софи́ец	софи́йка	софи́йцы
Ста́врополь	ста́врополец	ста́врополька	ставропо́льцы
Ставропо́лье	ставропо́лец	ставропо́лька	ставропо́льцы
Степанаке́рт	степанаке́ртец	степанаке́ртцы	степанаке́ртцы
Стокго́льм	стокго́льмец	стокго́льмка	стокго́льмцы
Стэ́нли	стэ́нлиец	стэ́нлийка	стэ́нлийцы
Су́ва	су́вец	су́вка	су́вцы
Суда́н	суда́нец	суда́нка	суда́нцы
Су́кре	су́креец	су́крейка	су́крейцы
Сурина́м	сурина́мец	сурина́мка	сурина́мцы
Суху́м	суху́мец	суху́мка	суху́мцы
США	америка́нец	америка́нка	америка́нцы
Сыктывка́р	сыктывка́рец	сыктывка́рка	сыктывка́рцы
Сье́рра-Лео́не	сьерралео́нец	сьерралео́нка	сьерралео́нцы
Таджикиста́н	таджи́к / такджикиста́нец	таджи́чка / таджикиста́нка	таджи́ки / таджикиста́нцы
Таила́нд	таила́ндец	таила́ндка	таила́ндцы
Тайбэ́й	тайбэ́йец	тайбэ́йка	тайбэ́йцы
Тайва́нь	тайва́нец	тайва́нка	тайва́нцы
Таллаха́сси 	таллаха́ссец	таллаха́сска	таллаха́ссцы
Та́ллин	та́ллинец	та́ллинка	та́ллинцы
Тамбо́в	тамбо́вец	тамбо́вка	тамбо́вцы
Тамбо́вщина	тамбо́вщинец	тамбо́вщинка	тамбо́вщинцы
Танза́ния	танзани́ец	танзани́йка	танзани́йцы
Татарста́н	татарста́нец / тата́рин	татарста́нка / тата́рка	татарста́нцы / тата́ры
Ташке́нт	ташке́нтец	ташке́нтка	ташке́нтцы
Тбили́си	тбили́сец	тбили́ска	тбили́сцы
Тверь	тве́рец	тве́рка	тве́рцы
Тегера́н	тегера́нец	тегера́нка	тегера́нцы
Тегусига́льпа	тегусига́льпец	тегусига́льпка	тегусига́льпцы
Те́ннесси	теннеси́ец	теннеси́йка	теннеси́йцы
Теха́с	теха́сец	теха́ска	теха́сцы
Тимо́р	тимо́рец	тимо́рка	тимо́рцы
Тира́на	тира́нец	тира́нка	тира́нцы
Тира́споль	тира́сполец	тира́сполька	тира́спольцы
Тифа́рити	тифа́ритиец	тифа́ритийка	тифа́ритийцы
То́го	тоголе́зец	тоголе́зка	тоголе́зцы
То́кио	токи́йец	токи́йка	токи́йцы
Томск	томи́ч	томича́нка	томичи́
То́мщина	то́мщинец	то́мщинка	то́мщинцы
То́нга	то́нганец	то́нганка	то́нганцы
Топи́ка 	топика́ец	топика́йка	топи́кцы
Тре́нтон 	тре́нтонец	тре́нтонша	тре́нтонцы
Тринида́д и Тоба́го	тринида́дец	тринида́дка	тринида́дцы
Три́поли	три́полец	три́полька	три́польцы
Тува́лу	тували́ец	туваля́нка	тували́йцы
Ту́ла	туля́к	туля́чка	туляки́
Ту́льщина	ту́льщинец	ту́льщинка	ту́льщинцы
Туни́с	туни́сец	туни́ска	туни́сцы
Туркмениста́н	туркмениста́нец	туркмениста́нка	туркмениста́нцы
Туркме́ния	туркме́н	туркме́нка	туркмены
Ту́рция	ту́рок	турча́нка	ту́рки
Тхимпху́	тхимпху́ец	пхимпху́йка	тхимпху́йцы
Тыва́	тува́нец	туви́нка	тувин́цы
Тюме́нь	тюме́нец	тюме́нка	тбме́нцы
Тюме́нь	тюменьча́нин	тюменьча́нка	тюменьча́не
Тюме́ньщина	тюме́ньщинец	тюме́ньщинка	тюме́ньщинцы
Тюри́нгия	тюри́нгец	тури́нгка	тюри́нгцы
Уагаду́гу	уганду́гец	уганду́гка	уганду́гцы
Уга́нда	уганди́ец	уганди́йка	уганди́йцы
Удму́ртия	удму́рт	удму́ртка	удму́рты
Узбекиста́н	узбе́к / узбекиста́нец	узбе́чка / узбекиста́нка	узбе́ки / узбекиста́нцы
Украи́на	украи́нец	украи́нка	украи́нцы
Ула́н-Ба́тор	уланба́торец	уланба́торка	уланба́торцы
Ула́н-Уде́	улануди́нец	улауди́нка	улануди́нцы
Улья́новск	улья́новец	улья́новка	улья́новцы
Улья́новщина	улья́новщинец	улья́новщинка	улья́новщинцы
Ура́л	ура́лец	ура́лка	ура́льцы
Уругва́й	уругва́ец	уругва́йка	уругва́йцы
Уфа́	уфи́мец	уфи́мка	уфи́мцы
Фи́джи	фиджи́ец	фиджи́йка	фиджи́йцы
Филиппи́ны	филиппи́нец	филиппи́нка	филиппи́нцы
Фи́никс 	фи́никсец	фи́никсша	фи́никсцы
Финля́ндия	финн	фи́ннка / фи́нка	фи́нны
Фла́йинг-Фиш-Ков	фла́йингфишковец	фла́йингфишковка	фла́йингфишковцы
Флори́да	флори́дец	флори́дка	флори́дцы
Фолкле́нды	фонкле́ндец	фонкле́ндка	фонкле́ндцы
Фра́нкфорт 	фра́нкфортец	фра́нкфортка	фра́нкфортцы
Фра́нция	францу́з	францу́женка	францу́зы
ФРГ	ФРГшник фээргэ́шник	ФРГшница фээргэ́шница	ФРГшники фээргэ́шники
Фри́таун	фрита́унец	фрита́унка	фрита́унцы
Фунафу́ти	фунафу́тец	фунафу́тка	фунафу́тцы
Хаба́ровск	хаба́ровец	хаба́ровка	хаба́ровцы
Хаба́ровский край	хаба́ровец	хаба́ровка	хаба́ровцы
Хака́сия	хака́с	хака́ска	хака́сы
Хано́й	хано́ец	хано́йка	хано́йцы
Ха́нты-Манси́йск	хантыманси́ец	хантыманси́йка	хантыманси́йцы
Хара́ре	хара́рец	хара́рка	хара́рцы
Харге́йса	харге́йсец	харге́йска	харге́йсцы
Харту́м	харту́мец	харту́мка	харту́мцы
Ха́ртфорд 	ха́ртфордец	ха́рфордка	ха́ртфордцы
Хе́лена 	хе́ленец	хе́ленка	хе́ленцы
Хе́льсинки	хе́льсинец	хе́льсинка	хе́льсинкцы
Хониа́ра	хониа́рец	хониа́рка	хониа́рцы
Хорва́тия	хорва́т	хорва́тка	хорва́ты
ЦАР	ца́ровец	ца́ровка	ца́ровцы
Центральноафрика́нская Респу́блика	центральноафрика́нец	центральноафрика́нка	центральноафрика́нцы
Центра́льноевропе́йский контине́нт	центральноевропе́ец	центральноевропе́йка	центральноевропе́йцы
Цхинва́л	цхинва́лец	цхинва́лка	цхинва́льцы
Чад	ча́дец	ча́дка	ча́дцы
Ча́рлстон 	ча́рлстонец	ча́рлстонка	ча́рлстонцы
Чебокса́ры	чебокса́рец	чебокса́рка	чебокса́рцы
Челя́бинск	челя́бинец	челя́бинка	челя́бинцы
Челя́бинщина	челя́бинщинец	челя́бинщинка	челя́бинщинцы
Черке́сск	черке́ссец	черке́сска	черке́ссцы
Черного́рия	черного́рец	черного́рка	черного́рцы
Че́хия	чех	че́шка	че́хи
Чечня́	чече́нец	чече́нка	чече́нцы
Чика́го 	чика́говец	чика́говка	чика́говцы / чикагцы
Чи́ли	чили́ец	чили́йка	чили́йцы
Чита́	чити́нец	чити́нка	чити́нцы
Чува́шия	чува́ш	чува́шка / чува́шинка	чуваши́
Чуко́тский о́круг	чу́кча	чукча́нка	чу́кчи
Шайе́нн 	шайе́ннец	шайе́ннка	шайе́ннцы
Швейца́рия	швейца́рец	швейца́рка	швейца́рцы
Швери́н	шве́ринец	шве́ринка	шве́ринцы
Шве́ция	швед	шве́дка	шве́ды
Шле́звиг-Гольште́йн	шле́звиггольште́йнец	шле́звиггольште́йнка	шле́звиггольште́йнцы
Шри-Джаява́рденепура-Ко́тте	ко́ттец	ко́ттка	ко́ттцы
Шри-Джаява́рденепура-Ко́тте	шриджаяварденепурако́ттец	шриджаяварденепурако́ттка	шриджаяварденепурако́ттцы
Шри-Ла́нка	шриланки́ец	шриланки́йка	шриланки́йцы
Шту́тгарт	шту́тгартец	шту́тгартка	шту́тгартцы
Эквадо́р	эквадо́рец	эквадо́рка	эквадо́рцы
Экваториа́льная Гвине́я	экваторогвине́ец	экваторогвине́йка	экваторогвине́йцы
Элиста́	элисти́нец	элисти́нка	элисти́нцы
Эль-Куве́йт	куве́йтец	куве́йтка	куве́йтцы
Эр-Рия́д	эррия́дец	эррия́дка	эррия́дцы
Эритре́я	эритре́ец	эритре́йка	эритре́йцы
Э́рфурт	э́рфуртец	э́рфуртка	э́рфуртцы
Эсвати́ни	эсвати́нец	эсвати́нка	эсвати́нцы
Эсто́ния	эсто́нец	эсто́нка	эсто́нцы
Эфио́пия	эфио́п	эфио́пка	эфио́пы
ЮАР	юа́ровец	юа́ровка	юа́рцы
Югоза́падная Евро́па	югоза̀падноевропе́ец	югоза̀падноевропе́йка	югоза̀падноевропе́йцы
Югра́	югра́нец	югра́нка	югра́не
Ю́жная Гео́ргия	ю̀гогео́ргиец	ю̀гогео́ргийка	ю̀гогео́ргийцы
Ю́жная Дако́та	южнодако́товец	южнодако́товка	южнодако́товцы
Ю́жная Кароли́на	южнокароли́нец	южнокароли́нка	южнокароли́нцы
Ю́жная Коре́я	южнокоре́ец	южнокорея́нка	южнокоре́йцы
Ю́жная О́сетия	югоосети́н	югоосети́нка	югоосети́ны
Ю́жная Тара́ва (Баири́ки)	тараване́ц	тарава́нка	тарава́нцы
Ю́жно-Африка́нская Респу́блика	южноафрика́нец	южноафрика́нка	южноафрика́нцы
Ю́жно-Сахали́нск	южносахали́нец	южносахали́нка	южносахали́нцы
Южноевропе́йкий контине́нт	ю́жный европе́ец	ю́жная европе́йка	ю́жные европе́йцы
Ю́жный Суда́н	южносуда́нец	южносуда́нка	южносуда́нцы
Ю́та	ю́танец	ю́танка	ю́танцы
Яку́тия	яку́т	яку́тка	яку́ты
Яку́тск	яку́т	яку́тка	якутя́не
Яма́йка	яма́ец	яма́йка	яма́йцы
Яма́ло-Не́нецкий о́круг	яма́лоне́нец	яма́лоне́нка	яма́лоне́нцы
Яма́ло-Не́нецкий о́круг	не́нец	не́нка	не́нцы
Ямусу́кро	ямусу́кровец	ммусу́кровка	ямусу́кровцы
Япо́ния	япо́нец	япо́нка	япо́нцы
Яросла́вль	яросла́влец	яросла́влевка	яросла́влевцы
Яросла́вская о́бласть	яросла́вец	яросла́вка	яросла́вцы
Яросла́вщина	яросла́вщинец	яросла́вщинка	яросла́вщинцы
Я́унде	я́ундец	я́ундка	я́ундцы
