наименование (город / страна)	житель (он, м.р.)	жительница (она, ж.р.)	жители (они, мн.ч.)
Ке́мерово	ке́меровец	ке́меровка	ке́меровцы
Ке́ния	кени́ец	кени́йка	кени́йцы
Кенту́кки	кенту́кковец	кенту́кковка	кенту́кковцы
Кига́ли	кига́лец	кигали́йка	кига́льцы
Ки́ев	киевля́нин	киевля́нка	киевля́не
Ки́линг	ки́лингец	ки́лингка	ки́лингцы
Киль	ки́лец	ки́лька	ки́льцы
Кингста́ун	кингста́унец	кингста́унка	кингста́унцы
Ки́нгстон	ки́нгстонец	ки́нгстонка	ки́нгстонцы
Кинша́са	кинша́сец	кинша́ска	кинша́сцы
Кипр	киприо́т	киприо́тка	киприо́ты
Кирги́зия	кирги́з	кирги́зка	кирги́зы
Киргизста́н	киргизста́нец	киргизста́нка	киргизста́нцы
Кириба́ти	кириба́тец	кириба́тка	кириба́тцы
Ки́ров	ки́ровец	кировча́нка	ки́ровцы
Ки́ровщина	ки́ровщинец	ки́ровщинка	ки́ровщинцы
Кита́й	кита́ец	китая́нка	кита́йцы
Ки́то	ки́тоец	ки́тойка	ки́тойцы
Кишинёв	кишинёвец	кишинёвка	кишинёвцы
КНДР	северокоре́ец	северокорея́нка	северокоре́йцы
Коко́совые острова́	мала́ец	мала́йка	коко́совые мала́йцы
Колора́до	колора́довец	колора́довка	колора́довцы
Колу́мбия	колумби́ец	колумби́йка	колумби́йцы
Колу́мбия 	колумби́ец	колумби́йка	колумби́йцы
Колу́мбус 	колу́мбусец	колу́мбуска	колу́мбусцы
Ко́ми	коми́ч	коми́чка	комичи́
Комо́ры	комо́рец	комо́рка	комо́рцы
Ко́накри́	конакри́ец	конакри́йка	конакри́йцы
Ко́нго	конголе́зец	конголе́зка	конголе́зцы
Ко́нкорд 	ко́нкордец	ко́нкордша	ко́нкордцы
Конне́ктикут	конне́ктикутовец	конне́ктикутовка	конне́ктикутовцы
контине́нт	континента́лец	континента́лка	континента́льцы
Копенга́ген	копенга́генец	копенга́генка	копенга́генцы
Коре́я	коре́ец	корея́нка	коре́йцы
Ко́сово	косова́р	косова́рка	косова́ры
Ко́ста-Ри́ка	костарика́нец	костарика́нка	костарика́нцы
Кострома́	костроми́ч	костроми́чка	костромичи́
Кострома́	костромча́нин	костромча́нка	костромча́не
Кот-д’Ивуа́р	котдивуа́рец	котдивуа́рка	котдивуа́рцы
Кот-д’Ивуа́р	ивуари́ец	ивуари́йка	ивуари́йцы
Красного́рск	красного́рец	красного́рка	красного́рцы
Краснода́р	краснода́рец	краснода́рка	краснода́рцы
Краснода́рщина	краснода́рщинец	краснода́рщинка	краснода́рщинцы
Красноя́рск	красноя́рец	красноя́рка	красноя́рцы
Красноя́рщина	красноя́рщинец	красноя́рщинка	красноя́рщинцы
Крым	крымча́нин	крымча́нка	крымча́не
Куа́ла-Лумпу́р	куа́лалумпу́рец	куа́лалумпу́рка	куа́лалумпу́рцы
Ку́ба	куби́нец	куби́нка	куби́нцы
Куба́нь	куба́нец	куба́нка	куба́нцы
Куве́йт	куве́йтец	куве́йтка	куве́йтцы
Кузба́сс	кузба́ссовец	кузба́ссовка	кузба́ссовцы
Кузба́сс	кузба́ссец	кузба́сска	кузба́ссцы
Курга́н	курга́нец	курга́нка	курга́нцы
Курга́нщина	курга́нщинец	курга́нщинка	курга́нщинцы
Курск	курча́нин	курча́нка	курча́нцы
Ку́рскщина	ку́рскщинец	ку́рскщинка	ку́рскщинцы
Кызы́л	кызылча́нин	кызылча́нка	кызылча́не
Ла́нсинг 	ла́нсингец	ла́нсингка	ла́нсингцы
Лао́с	лао́сец	лао́ска	лао́сцы
Ла́твия	латви́ец	латви́йка	латви́йцы
Лати́нская Аме́рика	латиноамерика́нец	латиноамерика́нка	латиноамерика́нцы
Ленингра́дская о́бласть	ленингра́дец	ленингра́дка	ленингра́дцы
Лесо́то	лесо́тец	лесо́тка	лесо́тцы
Либе́рия	либери́ец	либери́йка	либери́йцы
Либреви́ль	либреви́лец	либреви́лька	либреви́льцы
Лива́н	лива́нец	лива́нка	лива́нцы
Ли́вия	ливи́ец	ливи́йка	ливи́йцы
Лило́нгве	лило́нгвец	лило́нгвка	лило́нгвцы
Ли́ма	ли́маец	ли́майка	ли́майцы
Ли́нкольн 	ли́нкольнец	ли́нкольнша	ли́нкольнцы
Ли́пецк	липецча́нец	липецча́нка	липецча́не
Лиссабо́н	лиссабо́нец	лиссабо́нка	лиссабо́нцы
Литва́	лито́вец	лито́вка	лито́вцы
Литл-Рок	литлро́кер	литлро́керша	литлро́кцы
Лихтенште́йн	лихтенште́йнец	лихтенште́йнка	лихтенште́йнцы
ЛНР	элэнэ́ровец	элэнэ́ровка	элэнэ́ровцы
Ломе́	ломе́ец	ломе́йка	ломе́йцы
Ло́ндон	ло́ндонец	ло́ндонка	ло́ндонцы
Лос-А́нджелес 	лоса́нджелец	лоса́нджелка	лоса́нджельцы
Луа́нда	луа́ндец	луа́ндка	луа́ндцы
Луга́нск	луга́нец	луга́нка	луган́цы
Луга́нская Наро́дная Респу́блика	луганча́нин	луганча́нка	луганча́не
Луизиа́на	луизиа́нец	луизиа́нка	луизиа́нцы
Луса́ка	луса́кец	луса́кка	луса́кцы
Лю́бляна	лю́блянец	лю́блянка	лю́блянцы
Люксембу́рг	люксембу́ржец	люксембу́рженка	люксембу́ржцы
Люксембу́рг	луксембу́ржец	люксембу́рженка	люксембу́ргцы / люксембу́ржцы
Маври́кий	маврики́ец	маврики́йка	маврики́йцы
Маврита́ния	маврита́нец	маврита́нка	маврита́нцы
Магада́н	мгада́нец	магада́нка	магада́нцы
Магада́н	магада́новец	магада́новка	магада́новцы
Мага́с	мага́сец	мага́ска	мага́сцы
Ма́гдебург	магдебу́ржец	магдебу́рженка	магдебу́ржцы
Ма́гдебург	магдебу́ржец	магдебу́ржка	магдебу́ргцы
Мадагаска́р	мадагаска́рец	мадагаска́рка	мадагаска́рцы
Мадагаска́р	малагасиец	малагасийка	малагасийцы
Ма́джуро	ма́джурец	ма́нджурка	ма́джурцы
Ма́дисон 	ма́дисонец	ма́дисонка	ма́дисонцы
Мадри́д	мадри́дец	мадри́дка	мадри́дцы
Майко́п	майко́пец	майко́пка	майко́пцы
Майнц	ма́йнец	ма́йнцка	ма́йнцы
Мака́о	мака́онец	мака́онка	мака́онцы
Македо́ния	македо́нец	македо́нка	македо́нцы
Мала́бо	мала́бец	мала́бка	мала́бцы
Мала́ви	малави́ец	малави́йка	малави́йцы
Мала́йзия	малайзи́ец	малайзи́йка	малайзи́йцы
Малая Азия	млази́ец	малази́йка	малази́йцы
Ма́ле	мале́ец	мале́йка	мале́йцы
Мали́	мали́ец	мали́йка	мали́йцы
Мальви́нские острова́	мальви́нец	мальви́нка	мальви́нцы
Мальди́вы	мальдивиа́нин	мальдивиа́нка	мальдивиа́не
Ма́льта	мальти́ец	мальти́йка	мальти́йцы
Мана́гуа	манагуа́нец	манагуа́нка	манагуа́нцы
Мана́ма	мана́мец	мана́мка	мана́мцы
Мани́ла	мани́лец	мани́лка	мани́льцы
Мапу́ту	мапу́туец	мапу́туйка	мапу́туйцы
Мари́й Эл	мари́ец	мари́йка	мари́йцы
Мари́й Эл	мариэ́ловец	мариэ́ловка	мариэ́ловцы
Маро́кко	марокка́нец	марокка́нка	марокка́нцы
Марша́лловы Острова́	марша́лловец	марша́лловка	марша́лловцы
Ма́серу	ма́нсеруец	ма́нсеруйка	ма́нсеруйцы
Маска́т	маска́тец	маска́тка	маска́тцы
Массачу́сетс	массачу́сетц	массачу́сетка	масачу́сетцы
Махачкала́	махачкали́нец	махачкали́нка	махачкали́нцы
Мбаба́не	мбаба́нец	мбаба́нка	мбаба́нцы
Ме́кленбург	ме́кленбургец	ме́кленбургка	ме́кленбургцы
Ме́кленбург	мѐкленбу́ржец	мѐкленбу́рженка	мѐкленбу́ржцы
Ме́ксика	мексика́нец	мексика́нка	мексика́нцы
Ме́хико	мехика́нец	мехика́нка	мехика́нцы
